learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
12500.0,0.605894,1.390132147404882E-8,12500.0,89.2,78.38339845000961,77.9591836734694,78.13765182186235,12500.0,99264.0
12600.0,0.609432,1.3992176138692426E-8,12600.0,88.4,76.73747032022075,76.42276422764228,76.32653061224491,12600.0,99264.0
12700.0,0.613335,1.4092403882079648E-8,12700.0,88.8,77.54530035165664,77.37373737373737,77.18940936863544,12700.0,99264.0
12800.0,0.617499,1.419933401876025E-8,12800.0,88.4,76.77993786631649,76.56565656565657,76.18069815195072,12800.0,99264.0
12900.0,0.621862,1.431137440933121E-8,12900.0,89.1,78.19476674401857,78.1124497991968,78.2,12900.0,99264.0
13000.0,0.6256,1.4407365007532962E-8,13000.0,88.9,77.79253829286641,77.8,77.30061349693251,13000.0,99264.0
13100.0,0.629313,1.4502713614039946E-8,13100.0,88.5,76.97882051487368,77.66990291262135,77.22772277227723,13100.0,99264.0
13200.0,0.633475,1.4609592391384967E-8,13200.0,87.5,75.00179987040934,75.86872586872587,75.0996015936255,13200.0,99264.0
13300.0,0.637802,1.4720708313915459E-8,13300.0,87.9,75.79709565147819,76.64092664092664,75.75150300601202,13300.0,99264.0
13400.0,0.641696,1.4820704940292564E-8,13400.0,87.6,75.16413701384799,75.2988047808765,74.89878542510121,13400.0,99264.0
13500.0,0.645527,1.4919083747598852E-8,13500.0,87.9,75.73711059065097,75.75150300601202,75.20491803278688,13500.0,99264.0
13600.0,0.649785,1.5028427773051784E-8,13600.0,88.6,77.11238621442884,77.24550898203593,76.73469387755102,13600.0,99264.0
13700.0,0.653742,1.5130042218499707E-8,13700.0,88.8,77.54971135343169,77.37373737373737,77.37373737373737,13700.0,99264.0
13800.0,0.657513,1.522688024573855E-8,13800.0,89.8,79.56075665277334,79.64071856287426,79.47686116700201,13800.0,99264.0
13900.0,0.661201,1.5321586860550766E-8,13900.0,89.2,78.38608063592955,78.7819253438114,77.9591836734694,13900.0,99264.0
14000.0,0.66491,1.5416832748386588E-8,14000.0,89.0,77.96800954986641,78.96749521988528,77.82258064516128,14000.0,99264.0
14100.0,0.668655,1.5513003104262876E-8,14100.0,89.2,78.39351805541664,79.15057915057916,78.4,14100.0,99264.0
14200.0,0.671941,1.5597386492623216E-8,14200.0,89.7,79.4,79.80392156862746,79.44111776447106,14200.0,99264.0
14300.0,0.675045,1.5677096181445644E-8,14300.0,89.5,79.00218377288762,79.28994082840237,78.87323943661973,14300.0,99264.0
14400.0,0.678037,1.575392974747551E-8,14400.0,89.9,79.79919196767871,80.4263565891473,79.88047808764941,14400.0,99264.0
