learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
83000.0,1.878756,7.19720046967268E-9,83000.0,87.4,74.74747474747474,74.69879518072288,73.41772151898735,13656.0,22384.0,7.0,4.0,4.0,2.0,4896.0,0.0,1.0294117647058822
84000.0,1.895093,7.291804063651297E-9,84000.0,91.8,83.56825386647003,83.46774193548387,83.56713426853707,14656.0,22384.0,7.0,4.0,4.0,2.0,4896.0,0.0,1.0294117647058822
85000.0,1.912655,7.418907479279571E-9,85000.0,85.7,71.2775273767344,72.86527514231499,68.84531590413943,15656.0,27976.0,9.0,5.0,5.0,3.0,4896.0,0.0,1.0294117647058822
86000.0,1.934955,7.612562142312526E-9,86000.0,87.1,74.20701569173185,74.30278884462152,73.2919254658385,16656.0,33568.0,11.0,6.0,6.0,3.0,4896.0,0.0,1.0294117647058822
87000.0,1.956964,7.835529158926671E-9,87000.0,87.8,75.54012221919258,73.59307359307358,74.94866529774127,17656.0,39160.0,13.0,7.0,7.0,3.0,4896.0,0.0,1.0294117647058822
88000.0,1.973658,8.004651398708421E-9,88000.0,89.8,79.60000000000001,79.18367346938776,79.09836065573771,18656.0,39160.0,13.0,7.0,7.0,3.0,4896.0,0.0,1.0294117647058822
89000.0,1.990065,8.170866121848422E-9,89000.0,87.0,73.97970416925202,73.5234215885947,73.08488612836439,19656.0,39160.0,13.0,7.0,7.0,3.0,4896.0,0.0,1.0294117647058822
90000.0,2.008452,8.383739305039244E-9,90000.0,85.7,71.33211444701051,70.33195020746888,70.39337474120082,20656.0,44752.0,15.0,8.0,8.0,3.0,4896.0,0.0,1.0294117647058822
91000.0,2.03146,8.417119164433742E-9,91000.0,78.4,56.68148053073209,57.48031496062993,56.800000000000004,536.0,5608.0,1.0,1.0,1.0,0.0,5064.0,0.0,1.028436018957346
92000.0,2.050309,8.444465173201426E-9,92000.0,87.5,74.95933395834835,75.0996015936255,74.64503042596348,64.0,5608.0,1.0,1.0,1.0,0.0,5064.0,0.0,1.028436018957346
93000.0,2.067173,8.468931356651914E-9,93000.0,88.0,76.0,77.27272727272727,76.51663405088063,1064.0,5608.0,1.0,1.0,1.0,0.0,5064.0,0.0,1.028436018957346
94000.0,2.082693,8.491447673489649E-9,94000.0,89.3,78.57428914697637,78.76984126984128,78.25203252032522,2064.0,5608.0,1.0,1.0,1.0,0.0,5064.0,0.0,1.028436018957346
95000.0,2.09805,8.513727510968844E-9,95000.0,93.0,86.00179177065337,86.08349900596423,85.59670781893006,3064.0,5608.0,1.0,1.0,1.0,0.0,5064.0,0.0,1.028436018957346
96000.0,2.119621,8.545022579944796E-9,96000.0,81.8,63.590679213878744,63.74501992031871,63.15789473684209,160.0,5608.0,1.0,1.0,1.0,0.0,5064.0,0.0,1.028436018957346
